State,State_numerical,Year,Population
Alabama,1,2000,4452173
Alabama,1,2001,4467634
Alabama,1,2002,4480089
Alabama,1,2003,4503491
Alabama,1,2004,4530729
Alabama,1,2005,4569805
Alabama,1,2006,4628981
Alabama,1,2007,4672840
Alabama,1,2008,4718206
Alabama,1,2009,4757938
Alabama,1,2010,4785514
Alabama,1,2011,4799642
Alabama,1,2012,4816632
Alabama,1,2013,4831586
Alabama,1,2014,4843737
Alabama,1,2015,4854803
Alabama,1,2016,4866824
Alabama,1,2017,4877989
Alabama,1,2018,4891628
Alabama,1,2019,4907965
Alabama,1,2020,5033094
Alabama,1,2021,5049196
Alabama,1,2022,5076181
Alabama,1,2023,5117673
Alabama,1,2024,5157699
Alaska,2,2000,627963
Alaska,2,2001,633714
Alaska,2,2002,642337
Alaska,2,2003,648414
Alaska,2,2004,659286
Alaska,2,2005,666946
Alaska,2,2006,675302
Alaska,2,2007,680300
Alaska,2,2008,687455
Alaska,2,2009,698895
Alaska,2,2010,713982
Alaska,2,2011,722349
Alaska,2,2012,730810
Alaska,2,2013,737626
Alaska,2,2014,737075
Alaska,2,2015,738430
Alaska,2,2016,742575
Alaska,2,2017,740983
Alaska,2,2018,736624
Alaska,2,2019,733603
Alaska,2,2020,733017
Alaska,2,2021,734420
Alaska,2,2022,734442
Alaska,2,2023,736510
Alaska,2,2024,740133
Arizona,4,2000,5160586
Arizona,4,2001,5273477
Arizona,4,2002,5396255
Arizona,4,2003,5510364
Arizona,4,2004,5652404
Arizona,4,2005,5839077
Arizona,4,2006,6029141
Arizona,4,2007,6167681
Arizona,4,2008,6280362
Arizona,4,2009,6343154
Arizona,4,2010,6407342
Arizona,4,2011,6473416
Arizona,4,2012,6556344
Arizona,4,2013,6634690
Arizona,4,2014,6732873
Arizona,4,2015,6832810
Arizona,4,2016,6944767
Arizona,4,2017,7048088
Arizona,4,2018,7164228
Arizona,4,2019,7291843
Arizona,4,2020,7187135
Arizona,4,2021,7274078
Arizona,4,2022,7377566
Arizona,4,2023,7473027
Arizona,4,2024,7582384
Arkansas,5,2000,2678588
Arkansas,5,2001,2691571
Arkansas,5,2002,2705927
Arkansas,5,2003,2724816
Arkansas,5,2004,2749686
Arkansas,5,2005,2781097
Arkansas,5,2006,2821761
Arkansas,5,2007,2848650
Arkansas,5,2008,2874554
Arkansas,5,2009,2896843
Arkansas,5,2010,2921998
Arkansas,5,2011,2941038
Arkansas,5,2012,2952876
Arkansas,5,2013,2960459
Arkansas,5,2014,2968759
Arkansas,5,2015,2979732
Arkansas,5,2016,2991815
Arkansas,5,2017,3003855
Arkansas,5,2018,3012161
Arkansas,5,2019,3020985
Arkansas,5,2020,3014546
Arkansas,5,2021,3026870
Arkansas,5,2022,3047704
Arkansas,5,2023,3069463
Arkansas,5,2024,3088354
California,6,2000,33987977
California,6,2001,34479458
California,6,2002,34871843
California,6,2003,35253159
California,6,2004,35574576
California,6,2005,35827943
California,6,2006,36021202
California,6,2007,36250311
California,6,2008,36604337
California,6,2009,36961229
California,6,2010,37319550
California,6,2011,37636311
California,6,2012,37944551
California,6,2013,38253768
California,6,2014,38586706
California,6,2015,38904296
California,6,2016,39149186
California,6,2017,39337785
California,6,2018,39437463
California,6,2019,39437610
California,6,2020,39521958
California,6,2021,39142565
California,6,2022,39142414
California,6,2023,39198693
California,6,2024,39431263
Colorado,8,2000,4326921
Colorado,8,2001,4425687
Colorado,8,2002,4490406
Colorado,8,2003,4528732
Colorado,8,2004,4575013
Colorado,8,2005,4631888
Colorado,8,2006,4720423
Colorado,8,2007,4803868
Colorado,8,2008,4889730
Colorado,8,2009,4972195
Colorado,8,2010,5047539
Colorado,8,2011,5121900
Colorado,8,2012,5193660
Colorado,8,2013,5270774
Colorado,8,2014,5352637
Colorado,8,2015,5454328
Colorado,8,2016,5543844
Colorado,8,2017,5617421
Colorado,8,2018,5697155
Colorado,8,2019,5758486
Colorado,8,2020,5787129
Colorado,8,2021,5814036
Colorado,8,2022,5850935
Colorado,8,2023,5901339
Colorado,8,2024,5957493
Connecticut,9,2000,3411777
Connecticut,9,2001,3432835
Connecticut,9,2002,3458749
Connecticut,9,2003,3484336
Connecticut,9,2004,3496094
Connecticut,9,2005,3506956
Connecticut,9,2006,3517460
Connecticut,9,2007,3527270
Connecticut,9,2008,3545579
Connecticut,9,2009,3561807
Connecticut,9,2010,3579173
Connecticut,9,2011,3588632
Connecticut,9,2012,3595211
Connecticut,9,2013,3595792
Connecticut,9,2014,3595697
Connecticut,9,2015,3588561
Connecticut,9,2016,3579830
Connecticut,9,2017,3575324
Connecticut,9,2018,3574561
Connecticut,9,2019,3566022
Connecticut,9,2020,3579918
Connecticut,9,2021,3606607
Connecticut,9,2022,3617925
Connecticut,9,2023,3643023
Connecticut,9,2024,3675069
Delaware,10,2000,786373
Delaware,10,2001,795699
Delaware,10,2002,806169
Delaware,10,2003,818003
Delaware,10,2004,830803
Delaware,10,2005,845150
Delaware,10,2006,859268
Delaware,10,2007,871749
Delaware,10,2008,883874
Delaware,10,2009,891730
Delaware,10,2010,899647
Delaware,10,2011,907590
Delaware,10,2012,915518
Delaware,10,2013,924062
Delaware,10,2014,933131
Delaware,10,2015,942065
Delaware,10,2016,949989
Delaware,10,2017,957942
Delaware,10,2018,966985
Delaware,10,2019,976668
Delaware,10,2020,991928
Delaware,10,2021,1005062
Delaware,10,2022,1020625
Delaware,10,2023,1036423
Delaware,10,2024,1051917
District of Columbia,11,2000,572046
District of Columbia,11,2001,574504
District of Columbia,11,2002,573158
District of Columbia,11,2003,568502
District of Columbia,11,2004,567754
District of Columbia,11,2005,567136
District of Columbia,11,2006,570681
District of Columbia,11,2007,574404
District of Columbia,11,2008,580236
District of Columbia,11,2009,592228
District of Columbia,11,2010,605282
District of Columbia,11,2011,620290
District of Columbia,11,2012,635737
District of Columbia,11,2013,651559
District of Columbia,11,2014,663603
District of Columbia,11,2015,677014
District of Columbia,11,2016,687576
District of Columbia,11,2017,697079
District of Columbia,11,2018,704147
District of Columbia,11,2019,708253
District of Columbia,11,2020,670917
District of Columbia,11,2021,669256
District of Columbia,11,2022,676725
District of Columbia,11,2023,687324
District of Columbia,11,2024,702250
Florida,12,2000,16047515
Florida,12,2001,16356966
Florida,12,2002,16689370
Florida,12,2003,17004085
Florida,12,2004,17415318
Florida,12,2005,17842038
Florida,12,2006,18166990
Florida,12,2007,18367842
Florida,12,2008,18527305
Florida,12,2009,18652644
Florida,12,2010,18846143
Florida,12,2011,19055607
Florida,12,2012,19302016
Florida,12,2013,19551678
Florida,12,2014,19853880
Florida,12,2015,20219111
Florida,12,2016,20627237
Florida,12,2017,20977089
Florida,12,2018,21254926
Florida,12,2019,21492056
Florida,12,2020,21592035
Florida,12,2021,21831949
Florida,12,2022,22379312
Florida,12,2023,22904868
Florida,12,2024,23372215
Georgia,13,2000,8227303
Georgia,13,2001,8377038
Georgia,13,2002,8508256
Georgia,13,2003,8622793
Georgia,13,2004,8769252
Georgia,13,2005,8925922
Georgia,13,2006,9155813
Georgia,13,2007,9349988
Georgia,13,2008,9504843
Georgia,13,2009,9620846
Georgia,13,2010,9712209
Georgia,13,2011,9803630
Georgia,13,2012,9903580
Georgia,13,2013,9975592
Georgia,13,2014,10071204
Georgia,13,2015,10183353
Georgia,13,2016,10308442
Georgia,13,2017,10417031
Georgia,13,2018,10519389
Georgia,13,2019,10628020
Georgia,13,2020,10732888
Georgia,13,2021,10792060
Georgia,13,2022,10931805
Georgia,13,2023,11064432
Georgia,13,2024,11180878
Hawaii,15,2000,1213519
Hawaii,15,2001,1225948
Hawaii,15,2002,1239613
Hawaii,15,2003,1251154
Hawaii,15,2004,1273569
Hawaii,15,2005,1292729
Hawaii,15,2006,1309731
Hawaii,15,2007,1315675
Hawaii,15,2008,1332213
Hawaii,15,2009,1346717
Hawaii,15,2010,1364004
Hawaii,15,2011,1379562
Hawaii,15,2012,1395199
Hawaii,15,2013,1408822
Hawaii,15,2014,1415335
Hawaii,15,2015,1422999
Hawaii,15,2016,1428885
Hawaii,15,2017,1425763
Hawaii,15,2018,1423102
Hawaii,15,2019,1415615
Hawaii,15,2020,1451252
Hawaii,15,2021,1447029
Hawaii,15,2022,1440359
Hawaii,15,2023,1441387
Hawaii,15,2024,1446146
Idaho,16,2000,1299430
Idaho,16,2001,1319962
Idaho,16,2002,1340372
Idaho,16,2003,1363380
Idaho,16,2004,1391802
Idaho,16,2005,1428241
Idaho,16,2006,1468669
Idaho,16,2007,1505105
Idaho,16,2008,1534320
Idaho,16,2009,1554439
Idaho,16,2010,1570819
Idaho,16,2011,1584272
Idaho,16,2012,1595910
Idaho,16,2013,1612053
Idaho,16,2014,1632248
Idaho,16,2015,1652495
Idaho,16,2016,1684036
Idaho,16,2017,1719745
Idaho,16,2018,1752074
Idaho,16,2019,1789060
Idaho,16,2020,1849415
Idaho,16,2021,1904848
Idaho,16,2022,1944299
Idaho,16,2023,1971122
Idaho,16,2024,2001619
Illinois,17,2000,12434161
Illinois,17,2001,12488445
Illinois,17,2002,12525556
Illinois,17,2003,12556006
Illinois,17,2004,12589773
Illinois,17,2005,12609903
Illinois,17,2006,12643955
Illinois,17,2007,12695866
Illinois,17,2008,12747038
Illinois,17,2009,12796778
Illinois,17,2010,12840545
Illinois,17,2011,12867783
Illinois,17,2012,12883029
Illinois,17,2013,12895778
Illinois,17,2014,12885092
Illinois,17,2015,12859585
Illinois,17,2016,12821709
Illinois,17,2017,12779893
Illinois,17,2018,12724685
Illinois,17,2019,12667017
Illinois,17,2020,12799088
Illinois,17,2021,12700641
Illinois,17,2022,12621821
Illinois,17,2023,12642259
Illinois,17,2024,12710158
Indiana,18,2000,6091866
Indiana,18,2001,6127760
Indiana,18,2002,6155967
Indiana,18,2003,6196638
Indiana,18,2004,6233007
Indiana,18,2005,6278616
Indiana,18,2006,6332669
Indiana,18,2007,6379599
Indiana,18,2008,6424806
Indiana,18,2009,6459325
Indiana,18,2010,6490555
Indiana,18,2011,6517250
Indiana,18,2012,6538989
Indiana,18,2013,6570575
Indiana,18,2014,6596019
Indiana,18,2015,6611442
Indiana,18,2016,6637898
Indiana,18,2017,6662068
Indiana,18,2018,6698481
Indiana,18,2019,6731010
Indiana,18,2020,6790497
Indiana,18,2021,6815907
